 "n" ,
 "Final: The Rapture" ,
 "Major Dundee" ,
 "La doppia ora" ,
 "The Hateful Eight" ,
 "Nebraska" ,
 "Diarios de motocicleta" ,
 "31" ,
 "Mulholland Drive" ,
 "Las aventuras de Tadeo Jones" ,
 "Colors" ,
 "The Good Doctor" ,
 "Due Date" ,
 "Rushmore" ,
 "The Reaping" ,
 "Licence to Kill" ,
 "Cameron's Closet" ,
 "The Wild Bunch" ,
 "The Lost City of Z" ,
 "The Last Mimzy" ,
 "Bordello of Blood" ,
 "La escopeta nacional" ,
 "Home for the Holidays" ,
 "Collateral" ,
 "End of Watch" ,
 "Dragonfly" ,
 "Live by Night" ,
 "Colombiana" ,
 "Goal!: The Dream Begins" ,
 "Behind Enemy Lines" ,
 "The Dry Land" ,
 "Thirteen" ,
 "Midnight in Paris" ,
 "Pagafantas" ,
 "The Mexican" ,
 "Mal de pierres" ,
 "Chasing Liberty" ,
 "Morgana" ,
 "Duplicity" ,
 "Predators" ,
 "Metropolis" ,
 "El pico 2" ,
 "Bunny and the Bull" ,
 "The Alamo" ,
 "28 Days Later" ,
 "From Dusk Till Dawn" ,
 "Snitch" ,
 "The Swan Princess: Escape from Castle Mountain" ,
 "El Estudiante" ,
 "Voces inocentes" ,
 "Lone Wolf McQuade" ,
 "Los cronocrímenes" ,
 "Red Dawn" ,
 "Stealth" ,
 "The Day After Tomorrow" ,
 "The Good Shepherd" ,
 "[REC] 4: Apocalipsis" ,
 "The Great Wall" ,
 "Batalla en el cielo" ,
 "The A-Team" ,
 "Notting Hill" ,
 "More Than a Game" ,
 "Wassup Rockers" ,
 "Don't Say a Word" ,
 "The Cold Light of Day" ,
 "Absolute Power" ,
 "¿Quién mató a Bambi?" ,
 "The Tourist" ,
 "The Expendables" ,
 "All the President's Men" ,
 "Cien años de perdón" ,
 "Flatliners" ,
 "Tombstone" ,
 "Rudy" ,
 "La mala educación" ,
 "National Treasure" ,
 "FBI: Frikis buscan incordiar" ,
 "Sleep Dealer" ,
 "Ocean's Thirteen" ,
 "What the #$*! Do We (K)now!?" ,
 "El exterminador de la carretera" ,
 "El día de la bestia" ,
 "GoldenEye" ,
 "El robobo de la jojoya" ,
 "Music of the Heart" ,
 "Snatched" ,
 "[REC]²" ,
 "Transformers" ,
 "Summer Rental" ,
 "Navajeros" ,
 狄仁傑之通天帝國 ,
 "Carlos" ,
 "Lone Star" ,
 "Balada triste de trompeta" ,
 "Vampires Suck" ,
 "The 40 Year Old Virgin" ,
 "The Color of Money" ,
 "[REC]" ,
 "Jarhead" ,
 "A Man Apart" ,
 "Crazy/Beautiful" ,
